pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
426,kond1303,Yaben (Konda),-1.82635,132.06,500.0,1.0,1.0,language,0,0,0,Papunesia,threatened
427,yaha1248,Yahadian,-1.94317,132.096,500.0,1.0,1.0,language,0,0,0,Papunesia,threatened
430,cadd1256,Caddo,33.33,-93.5,25.0,4.0,4.0,language,0,0,0,North America,nearly extinct
437,yems1235,Yemsa,7.798210000000001,37.4412,92000.0,7.0,7.0,language,0,0,2,Africa,shifting
439,benc1235,Bench,7.0468199999999985,35.7673,356500.0,7.0,7.0,language,0,0,3,Africa,threatened
441,nucl1458,Monumbo,-4.2717,144.95,410.0,8.0,8.0,language,0,0,0,Papunesia,shifting
442,lila1246,Lilau,-4.35479,144.99,450.0,8.0,8.0,language,0,0,0,Papunesia,shifting
448,tese1238,Tese,11.3885,29.5803,1400.0,11.0,11.0,language,0,0,0,Africa,shifting
449,nucl1339,Temein,11.8275,29.3898,13000.0,11.0,11.0,language,0,0,0,Africa,threatened
455,kadi1248,Kadiwéu,-19.7222,-57.582,1600.0,16.0,16.0,language,0,0,0,South America,shifting
456,gadj1243,Gajirrabeng,-15.4786,129.156,2.0,19.0,19.0,language,0,0,0,Australia,extinct
457,kitj1240,Kitja,-17.5758,127.392,169.0,19.0,19.0,language,0,0,0,Australia,moribund
458,miri1266,Miriwung,-16.3596,128.889,156.0,19.0,19.0,language,0,0,0,Australia,nearly extinct
459,sanu1240,Sanumá,4.5,-64.5,5100.0,20.0,20.0,language,0,0,3,South America,shifting
463,west2600,West Makian,0.45332,127.63,12000.0,22.0,22.0,language,0,0,0,Papunesia,threatened
468,cham1315,Chamacoco,-20.5899,-58.2005,2000.0,26.0,26.0,language,0,0,2,South America,shifting
473,nort2951,Northwest Maidu,39.6721,-121.368,32.0,29.0,29.0,language,0,0,0,North America,extinct
476,cher1273,Cherokee,35.4664,-83.163,1520.0,32.0,32.0,language,0,0,4,North America,threatened
479,orya1242,Orya,-2.76483,139.89,1600.0,33.0,33.0,language,0,0,3,Papunesia,threatened
489,nuka1242,Nukak Makú,2.65939,-71.4629,700.0,38.0,38.0,language,0,0,0,South America,shifting
490,cacu1241,Kakua,0.8877799999999999,-69.5659,250.0,38.0,38.0,language,0,0,2,South America,shifting
493,jara1245,Jarawa (India),11.6089,92.658,266.0,41.0,41.0,language,0,0,0,Eurasia,threatened
494,onge1236,Önge,10.6926,92.4707,94.0,41.0,41.0,language,0,0,0,Eurasia,shifting
495,siaw1243,Siawi,-4.05312,141.42,220.0,43.0,43.0,language,0,0,0,Papunesia,moribund
496,amto1250,Amto,-4.12165,141.339,300.0,43.0,43.0,language,0,0,0,Papunesia,shifting
498,svan1243,Svan,42.9134,42.5915,14000.0,45.0,45.0,language,0,0,4,Eurasia,threatened
500,demt1241,Demta,-2.38475,140.166,1300.0,46.0,46.0,language,0,0,0,Papunesia,moribund
504,nezp1238,Nez Perce,46.3073,-116.408,20.0,50.0,50.0,language,0,0,0,North America,nearly extinct
515,gumu1244,Northern Gumuz,11.05,35.93,220000.0,58.0,58.0,language,0,0,19,Africa,not endangered
530,saba1268,Sabanê,-12.9857,-60.335,3.0,66.0,66.0,language,0,0,0,South America,nearly extinct
549,mans1259,Mansoanka,12.8218,-15.9202,17600.0,69.0,69.0,language,0,0,0,Africa,threatened
550,gola1255,Gola,7.06193,-10.8138,110000.0,69.0,69.0,language,0,0,9,Africa,not endangered
551,murk1238,Murkim,-4.0754800000000015,140.91299999999995,290.0,70.0,70.0,language,0,0,0,Papunesia,not endangered
552,kemb1250,Kembra,-3.89065,140.434,20.0,70.0,70.0,language,0,0,0,Papunesia,moribund
553,lepk1238,Lepki,-4.1059,140.464,530.0,70.0,70.0,language,0,0,0,Papunesia,shifting
555,suab1238,Suabo,-2.07971,132.157,800.0,71.0,71.0,language,0,0,0,Papunesia,nearly extinct
564,hata1243,Hatam,-1.13531,134.037,16000.0,76.0,76.0,language,0,0,5,Papunesia,threatened
566,nucl1593,Kwomtari,-3.5071800000000004,141.488,600.0,77.0,77.0,language,0,0,2,Papunesia,shifting
567,naii1241,Nai,-3.73034,141.273,750.0,77.0,77.0,language,0,0,0,Papunesia,shifting
572,dime1235,Dime,6.20951,36.3329,570.0,85.0,85.0,language,0,0,0,Africa,shifting
574,dadi1250,Dadibi,-6.65765,144.511,10000.0,87.0,87.0,language,0,0,1,Papunesia,not endangered
575,folo1238,Folopa,-6.8632100000000005,144.458,3000.0,87.0,87.0,language,0,0,13,Papunesia,not endangered
576,toll1241,Tol,14.6686,-87.0372,500.0,88.0,88.0,language,0,0,0,North America,shifting
584,kata1270,Katawixi,-7.25015,-64.8319,10.0,96.0,96.0,language,0,0,0,South America,extinct
585,kana1291,Katukína-Kanamarí,-6.45399,-68.7678,1300.0,96.0,96.0,language,0,0,3,South America,shifting
587,pech1241,Pech,15.8033,-85.55799999999998,990.0,97.0,97.0,language,0,0,0,North America,shifting
590,keig1242,Keiga,11.2064,29.3889,6100.0,99.0,99.0,language,0,0,2,Africa,shifting
594,mara1396,Mararit,14.087,21.6408,42000.0,102.0,102.0,language,0,0,2,Africa,not endangered
598,woun1238,Woun Meu,8.5,-78.0,10800.0,106.0,106.0,language,0,0,0,South America,shifting
604,owin1240,Owiniga,-4.47476,141.697,330.0,109.0,109.0,language,0,0,0,Papunesia,shifting
609,kara1499,Kalamang,-3.4703699999999995,132.678,100.0,112.0,112.0,language,0,0,0,Papunesia,shifting
616,gaam1241,Gaam,11.4674,33.9797,67000.0,117.0,117.0,language,0,0,6,Africa,not endangered
619,atoh1238,Atohwaim,-6.27123,138.666,1000.0,119.0,119.0,language,0,0,0,Papunesia,threatened
629,wabo1241,Waboda,-8.41651,143.501,2800.0,128.0,128.0,language,0,0,0,Papunesia,not endangered
631,bamu1257,Bamu,-7.93818,143.545,5400.0,128.0,128.0,language,0,0,5,Papunesia,not endangered
635,kosa1251,Kosadle,-3.78748,140.197,250.0,129.0,129.0,language,0,0,0,Papunesia,shifting
650,sent1241,Sentinel,11.553,92.2534,100.0,130.0,130.0,language,0,0,0,Eurasia,threatened
677,ajas1235,Aja (Sudan),8.58003,25.6122,200.0,131.0,131.0,language,0,0,0,Africa,shifting
679,agob1244,Agob-Ende-Kawam,-9.08521,142.532,2400.0,132.0,132.0,language,0,0,3,Papunesia,not endangered
680,idii1243,Idi-Taeme,-8.75976,142.30100000000004,1600.0,132.0,132.0,language,0,0,2,Papunesia,not endangered
684,tima1241,Tima,11.7176,29.1632,3305.0,138.0,138.0,language,0,0,0,Africa,shifting
687,bamb1262,Bambassi,9.82554,34.6522,2300.0,142.0,142.0,language,0,0,2,Africa,shifting
737,nisa1239,Nisa-Anasi,-1.95386,137.6,2500.0,149.0,149.0,language,0,0,0,Papunesia,threatened
738,bauz1241,Bauzi,-2.4471700000000003,137.629,1500.0,149.0,149.0,language,0,0,3,Papunesia,not endangered
740,wori1246,Woria,-2.37997,136.519,5.0,149.0,149.0,language,0,0,0,Papunesia,nearly extinct
741,demi1242,Demisa,-2.54564,136.694,400.0,149.0,149.0,language,0,0,0,Papunesia,shifting
742,tefa1238,Tefaro,-2.35042,136.753,100.0,149.0,149.0,language,0,0,0,Papunesia,shifting
749,nucl1454,Yawa,-1.7719599999999998,136.263,10000.0,152.0,152.0,language,0,0,5,Papunesia,not endangered
750,sawe1240,Saweru,-1.91473,136.296,300.0,152.0,152.0,language,0,0,0,Papunesia,threatened
757,gily1242,Amur Nivkh,52.59,140.681,198.0,156.0,156.0,language,0,0,2,Eurasia,moribund
758,nade1244,Nadëb,-1.24449,-66.3068,370.0,157.0,157.0,language,0,0,3,South America,shifting
761,lard1243,Lardil,-16.56152,139.4343,65.0,159.0,159.0,language,0,0,0,Australia,nearly extinct
767,jeju1234,Jejueo,33.3805,126.5554,5000.0,164.0,164.0,language,0,0,0,Eurasia,shifting
768,kore1280,Korean,37.5,128.0,77200000.0,164.0,164.0,language,0,0,13,Eurasia,not endangered
772,maja1242,Majang,7.71,34.97,33000.0,169.0,169.0,language,0,0,0,Africa,not endangered
773,kair1267,Kairak,-4.46941,151.98,900.0,170.0,170.0,language,0,0,0,Papunesia,not endangered
774,qaqe1238,Qaqet,-4.45258,151.702,6400.0,170.0,170.0,language,0,0,0,Papunesia,shifting
775,mali1284,Mali,-4.71826,152.214,2200.0,170.0,170.0,language,0,0,0,Papunesia,threatened
776,urap1240,Ura (Papua New Guinea),-4.64226,151.953,1900.0,170.0,170.0,language,0,0,0,Papunesia,shifting
778,simb1259,Simbali,-4.88618,151.957,450.0,170.0,170.0,language,0,0,0,Papunesia,not endangered
782,mape1250,Mapena,-9.77803,149.495,270.0,175.0,175.0,language,0,0,0,Papunesia,threatened
783,dima1252,Dima,-9.70322,149.605,750.0,175.0,175.0,language,0,0,0,Papunesia,not endangered
784,tura1265,Turaka,-9.83576,149.567,25.0,175.0,175.0,language,0,0,0,Papunesia,moribund
785,uman1240,Umanakaina,-9.89671,149.658,2400.0,175.0,175.0,language,0,0,2,Papunesia,not endangered
786,onjo1240,Onjob,-9.31824,149.121,150.0,175.0,175.0,language,0,0,0,Papunesia,shifting
787,ginu1240,Ginuman,-10.0298,149.7,1400.0,175.0,175.0,language,0,0,0,Papunesia,not endangered
788,maiw1251,Maiwa (Papua New Guinea),-9.69836,149.274,1400.0,175.0,175.0,language,0,0,5,Papunesia,not endangered
789,daga1275,Daga,-9.9747,149.263,9000.0,175.0,175.0,language,0,0,0,Papunesia,not endangered
790,kana1288,Kanasi,-10.1658,149.751,2200.0,175.0,175.0,language,0,0,0,Papunesia,not endangered
793,suki1245,Suki,-8.047830000000001,141.842,3500.0,177.0,177.0,language,0,0,0,Papunesia,not endangered
798,chiq1248,Lomeriano-Ignaciano Chiquitano,-16.769554,-61.817795,5900.0,180.0,180.0,language,0,0,5,South America,shifting
806,ngar1284,Ngarinyin,-16.4006,126.433,38.0,185.0,185.0,language,0,0,7,Australia,nearly extinct
809,turu1250,Turumsa,-7.93238,142.56799999999996,5.0,186.0,186.0,language,0,0,0,Papunesia,nearly extinct
810,doso1239,Doso,-7.858060000000001,142.656,700.0,186.0,186.0,language,0,0,0,Papunesia,threatened
818,semi1264,Semimi,-3.71553,134.454,1000.0,189.0,189.0,language,0,0,0,Papunesia,shifting
819,nucl1594,Mairasi,-3.4511,134.071,3300.0,189.0,189.0,language,0,0,1,Papunesia,not endangered
820,merr1239,Mer,-3.3828,134.731,85.0,189.0,189.0,language,0,0,0,Papunesia,moribund
832,kris1246,I'saka,-2.80084,141.303,420.0,198.0,198.0,language,0,0,0,Papunesia,moribund
834,ticu1245,Ticuna,-3.66289,-69.8723,63000.0,199.0,199.0,language,0,0,0,South America,threatened
835,doro1266,Doromu-Koki,-9.56687,147.986,1500.0,200.0,200.0,language,0,0,3,Papunesia,not endangered
836,mari1438,Maria (Papua New Guinea),-9.92982,148.303,1400.0,200.0,200.0,language,0,0,7,Papunesia,not endangered
837,isir1237,Isirawa,-1.88775,138.595,1800.0,202.0,202.0,language,0,0,2,Papunesia,shifting
840,kwam1249,Gwama,9.50836,34.2457,320.0,205.0,205.0,language,0,0,2,Africa,threatened
847,bunu1267,Bunun,23.4116,121.025,38000.0,207.0,207.0,language,0,0,7,Papunesia,threatened
848,puyu1239,Puyuma,22.643,120.996,8500.0,207.0,207.0,language,0,0,2,Papunesia,moribund
850,ruka1240,Rukai,22.7738,120.844,10500.0,207.0,207.0,language,0,0,6,Papunesia,threatened
861,mang1381,Mangarrayi,-14.8,133.5,2.0,214.0,214.0,language,0,0,0,Australia,nearly extinct
863,mekm1240,Mekmek,-4.47017,143.75,1400.0,216.0,216.0,language,0,0,0,Papunesia,shifting
865,chan1319,Changriwa,-4.28364,143.696,690.0,216.0,216.0,language,0,0,0,Papunesia,shifting
878,pina1252,Pinai-Hagahai,-5.12624,144.137,600.0,222.0,222.0,language,0,0,2,Papunesia,threatened
879,haru1245,Haruai,-5.0952199999999985,144.3375,2000.0,222.0,222.0,language,0,0,3,Papunesia,shifting
889,taua1242,Tauade,-8.3486,147.094,7000.0,228.0,228.0,language,0,0,0,Papunesia,not endangered
891,kuni1267,Kunimaipa,-8.09371,146.908,14000.0,228.0,228.0,language,0,0,4,Papunesia,not endangered
892,fuyu1242,Fuyug,-8.6371,147.312,14000.0,228.0,228.0,language,0,0,4,Papunesia,not endangered
